date,index,nav,outstanding
"Feb 14, 2020",6872.68,339.18,650050000.00
"Feb 13, 2020",6858.92,338.50,651600000.00
"Feb 12, 2020",6867.92,338.95,649650000.00
"Feb 11, 2020",6823.59,336.76,652050000.00
"Feb 10, 2020",6811.83,336.18,653050000.00
"Feb 07, 2020",6761.26,333.69,651950000.00
"Feb 06, 2020",6796.64,335.43,651100000.00
"Feb 05, 2020",6772.98,334.27,649850000.00
"Feb 04, 2020",6697.49,330.54,629250000.00
"Feb 03, 2020",6598.63,325.66,629100000.00
"Jan 31, 2020",6551.00,323.31,629000000.00
"Jan 30, 2020",6668.52,329.12,629000000.00
"Jan 29, 2020",6646.69,328.04,627850000.00
"Jan 28, 2020",6652.30,328.31,627400000.00
"Jan 27, 2020",6585.95,325.04,627050000.00
"Jan 24, 2020",6691.22,330.23,626400000.00
"Jan 23, 2020",6752.09,333.24,625400000.00
"Jan 22, 2020",6743.90,332.83,623600000.00
"Jan 21, 2020",6741.71,332.73,622700000.00
"Jan 17, 2020",6759.51,333.60,623900000.00
"Jan 16, 2020",6733.35,332.31,625050000.00
"Jan 15, 2020",6677.25,329.55,623600000.00
"Jan 14, 2020",6664.66,328.93,622600000.00
"Jan 13, 2020",6674.13,329.39,622000000.00
"Jan 10, 2020",6627.87,327.11,621050000.00
"Jan 09, 2020",6646.84,328.05,621050000.00
"Jan 08, 2020",6601.15,325.79,620100000.00
"Jan 07, 2020",6568.74,324.19,620350000.00
"Jan 06, 2020",6586.54,325.07,621200000.00
"Jan 03, 2020",6563.32,323.93,622150000.00
"Jan 02, 2020",6609.29,326.19,622400000.00
"Dec 31, 2019",6553.57,323.44,622700000.00
"Dec 30, 2019",6533.91,322.47,622850000.00
"Dec 27, 2019",6571.03,324.31,623100000.00
"Dec 26, 2019",6570.71,324.29,623750000.00
"Dec 24, 2019",6536.58,322.61,624500000.00
"Dec 23, 2019",6537.40,322.65,624500000.00
"Dec 20, 2019",6531.75,322.37,627150000.00
"Dec 19, 2019",6499.26,320.77,626150000.00
"Dec 18, 2019",6470.00,319.32,622750000.00
"Dec 17, 2019",6472.24,319.43,639000000.00
"Dec 16, 2019",6470.03,319.33,624900000.00
"Dec 13, 2019",6423.93,319.08,626400000.00
"Dec 12, 2019",6422.35,319.00,627150000.00
"Dec 11, 2019",6366.84,316.24,627450000.00
"Dec 10, 2019",6348.31,315.32,626400000.00
"Dec 09, 2019",6355.07,315.66,625300000.00
"Dec 06, 2019",6374.70,316.63,624250000.00
"Dec 05, 2019",6316.69,313.75,624150000.00
"Dec 04, 2019",6305.49,313.19,624250000.00
"Dec 03, 2019",6265.22,311.19,624400000.00
"Dec 02, 2019",6306.88,313.26,623900000.00
"Nov 29, 2019",6361.56,315.98,623900000.00
"Nov 27, 2019",6385.76,317.19,623900000.00
"Nov 26, 2019",6358.46,315.83,624250000.00
"Nov 25, 2019",6344.36,315.13,625100000.00
"Nov 22, 2019",6296.34,312.74,625200000.00
"Nov 21, 2019",6282.59,312.06,625200000.00
"Nov 20, 2019",6292.17,312.54,625400000.00
"Nov 19, 2019",6314.66,313.66,625300000.00
"Nov 18, 2019",6318.02,313.82,625300000.00
"Nov 15, 2019",6314.74,313.66,627150000.00
